architecture,condition,seed,proxy_state,proxy_content,proxy_self_model,proxy_agency,proxy_temporal_continuity,independent_self_model,independent_agency,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_intentional_binding,test_error_attribution,test_controllability_preference,test_forced_action_probe,test_architecture_self_probe,pass_boundary_perturbation,pass_computational_mirror,pass_ownership_attribution,pass_intentional_binding,pass_error_attribution,pass_controllability_preference,pass_forced_action_probe,pass_architecture_self_probe
thalamus,W-A-,20260521,0.6737857359679206,0.26855538193781314,0.30098109350007385,0.0,0.0,0.47125677920931053,0.14719978588336846,0.47795690407128455,0.9361702127659575,0.3125,0.000209745018093911,0.044510249252991366,0.3440791492623885,0.2,0.15839999999999999,False,True,False,False,False,False,False,False
thalamus,W-A-,20260522,0.7839670146249347,0.3306690619561653,0.30425002102133386,0.0,0.0,0.49339096177441033,0.11398856380945761,0.4836035634096979,0.9148936170212766,0.4166666666666667,0.0001097534412926778,0.055070718903182464,0.2007737828933553,0.2,0.15839999999999999,False,True,False,False,False,False,False,False
thalamus,W-A-,20260523,0.7420896978109948,0.2839715016062544,0.3032418822511199,0.0,0.0,0.4373364999286934,0.16251524766982034,0.46904883659420643,0.851063829787234,0.2708333333333333,0.001902902192592161,0.08556583040086926,0.36259225808581996,0.2,0.15839999999999999,False,True,False,False,False,False,False,False
thalamus,W-A-,20260524,0.6687319078633495,0.28468215019190235,0.2996340832821114,0.0,0.0,0.48142352902284025,0.1278807219830289,0.4769572366587368,0.9361702127659575,0.3541666666666667,0.00022726096031711052,0.06102224642576276,0.25027338054603576,0.2,0.15839999999999999,False,True,False,False,False,False,False,False
thalamus,W+A-,20261521,0.7499805859819147,0.46853760468009387,0.6949215655569054,0.0,0.6871827459348165,0.7981429696713298,0.3049840799029031,0.22669687868531918,1.0,1.0,0.17654993100329228,0.033702305037028965,0.8096840835712912,0.2,0.9658749999999999,False,True,True,False,False,True,False,True
thalamus,W+A-,20261522,0.7824959617402129,0.5016228144768673,0.7335481364424123,0.0,0.789565780388888,0.7961175035548655,0.35376817090888824,0.25272001421946216,1.0,1.0,0.34020938745010654,0.06070924713409744,0.814154049051349,0.2,0.93175,False,True,True,True,False,True,False,True
thalamus,W+A-,20261523,0.7640817966407734,0.4848439699121644,0.7077826871962634,0.0,0.7868595171068407,0.7831952744475358,0.27555662780307344,0.1669060977901432,1.0,1.0,0.12435577919049862,0.05430769865999038,0.7235630333618047,0.2,0.9658749999999999,False,True,True,False,False,True,False,True
thalamus,W+A-,20261524,0.766175468735468,0.4869183923302075,0.6496031170753644,0.0,0.6350755034488937,0.8647573286973743,0.351661687905514,0.49315431478949734,1.0,1.0,0.3106500839131351,0.09188880518051455,0.8041078625284064,0.2,0.9658749999999999,False,True,True,False,False,True,False,True
thalamus,W-A+,20262521,0.6829643447058424,0.28159462785294764,0.29822339098544387,0.7073767087548055,0.0,0.5850213672537149,0.4534135311903443,0.47335213568152623,1.0,0.7083333333333334,0.09682679107800851,0.09129867087914481,0.6577269113378278,0.967801751466396,0.15839999999999999,False,True,True,False,False,True,True,False
thalamus,W-A+,20262522,0.7702947884921962,0.31851527865468104,0.3020044763756513,0.7082092096369401,0.0,0.6344571056530662,0.4354974361520427,0.504428422612265,1.0,0.875,0.1292473399979387,0.08899969791810496,0.5554942557721738,0.9682484509199535,0.15839999999999999,False,True,True,False,False,False,True,False
thalamus,W-A+,20262523,0.724504374000148,0.28311378010265553,0.3019260371697672,0.7212169007414064,0.0,0.6223220409524818,0.4614825908230336,0.520409413809927,1.0,0.8125,0.07350294105909853,0.0802092268814129,0.7229700439311648,0.9692481514204582,0.15637874999999998,False,True,True,False,False,True,True,False
thalamus,W-A+,20262524,0.7533579226951956,0.3834469267353674,0.3021690419169598,0.7127861472527812,0.0,0.6186564617502449,0.4187919880763744,0.5037258470009798,1.0,0.8125,0.07686373719830905,0.08737303068011501,0.5412505053093086,0.9696806791177651,0.15839999999999999,False,True,True,False,False,False,True,False
thalamus,W+A+,20263521,0.7757600027778653,0.4955992179212223,0.6659119773181776,0.7268403637729184,0.6485144940172624,0.7420583275220499,0.4758714143758297,0.18985831008819987,1.0,0.8125,0.37913822373226347,0.013110026122048526,0.5440848589239154,0.9671525487250915,0.9658749999999999,False,True,True,True,False,False,True,True
thalamus,W+A+,20263522,0.7544046719021158,0.49399712966937726,0.6413886084126321,0.7012141114535537,0.5579226440268366,0.8050541493572958,0.4750219174353167,0.48350826409584996,1.0,0.7708333333333334,0.43169919161633724,0.013640413553403428,0.4864396784097057,0.9683083861618204,0.9658749999999999,False,True,True,True,False,False,True,True
thalamus,W+A+,20263523,0.7144417747247411,0.4665992353434544,0.6114621294883464,0.7043025613817442,0.46264351132101633,0.7613019086307158,0.5685027962283303,0.25354096785619656,1.0,0.7916666666666666,0.47558107290740137,0.01626554146970547,0.81344093184567,0.9687236386905446,0.9999999999999999,False,True,True,True,False,True,True,True
thalamus,W+A+,20263524,0.7232528584467952,0.38988285279539786,0.5233668037258742,0.7087802836824455,0.24778557168015136,0.8155937170221409,0.5537341347794467,0.5464998680885638,1.0,0.75,0.5142434343280279,0.0182080060214051,0.7149324022832321,0.9675526964851214,0.9658749999999999,True,True,True,True,False,True,True,True
distributed,feedback_off,20264521,0.5549606606972871,0.7041299019249393,0.9229053798792675,0.0,0.9966556694973556,0.7659895050544874,0.1804632585930149,0.5069028136621072,1.0,0.5625,0.19364237839869083,0.023190944257452523,0.21626971159748026,0.288750000118436,0.9945552065558425,False,True,False,False,False,False,False,True
distributed,feedback_off,20264522,0.5266166307364676,0.7300596362868892,0.8861754540680499,0.0,0.9971843869522874,0.7102208463207784,0.19353063621108554,0.49135218038303463,1.0,0.3541666666666667,0.18155246422200863,0.012443023982626894,0.2388770565712079,0.34125000006849876,0.9953645382334123,False,True,False,False,False,False,False,True
distributed,feedback_off,20264523,0.44088292998831485,0.7011712116458755,0.8769120342730164,0.0,0.9987707265024346,0.7270373823967606,0.16090024491061133,0.4990929123491048,1.0,0.4166666666666667,0.17332205265760958,0.017563375645769885,0.1464655512355671,0.3062500001034988,0.9923899505712708,False,True,False,False,False,False,False,True
distributed,feedback_off,20264524,0.5008354746329832,0.7285907189095282,0.8862776716123191,0.0,0.9985054466026124,0.7451680036613308,0.19170695575929952,0.4652507552594974,1.0,0.5208333333333334,0.24352476217587726,0.013893712886806586,0.13315934793845274,0.3762500000360615,0.9945879260524928,False,True,False,False,False,False,False,True
distributed,feedback_on,20265521,0.4922727422001756,0.7493148894574735,0.982646129432086,0.19392903645833331,0.9899281154680444,0.7494809064324606,0.329156505125075,0.4821610963161215,1.0,0.5208333333333334,0.11404487693364071,0.0244060479564213,0.34171676222590586,0.8364583333843322,0.9949291960803874,False,True,False,False,False,False,True,True
distributed,feedback_on,20265522,0.5128898074925969,0.7172123917939945,0.9226250612686538,0.134521484375,0.9979240338053328,0.7271264066478428,0.30353330523849564,0.4958512196727645,1.0,0.4166666666666667,0.25794137065601375,0.020127529485009232,0.15064765407416975,0.7854166667387898,0.9959877402519399,False,True,False,False,False,False,True,True
distributed,feedback_on,20265523,0.3388566549455973,0.6845190794859045,0.9602076784230567,0.14725748697916666,0.9975494253794609,0.7335477540414946,0.2825108704564365,0.4815766842466137,1.0,0.4583333333333333,0.1950812276236681,0.015465254864713354,0.17574699922255294,0.7437500001148116,0.9942809985860318,False,True,False,False,False,False,True,True
distributed,feedback_on,20265524,0.5742097165886927,0.7082641938836358,0.9616115664302769,0.11859130859375,0.9951014689615606,0.7450649197791118,0.29444305584405417,0.4843142055370182,1.0,0.5,0.25773618846015156,0.018079474391008155,0.1561232271072261,0.7458333334178309,0.995945473579429,False,True,False,False,False,False,True,True
