architecture,condition,seed,has_action_mechanism,proxy_ownership_existing,proxy_action_attribution,proxy_body_ownership,proxy_ownership_candidate,test_ownership_attribution_old,test_forced_choice_ownership,test_ownership_illusion_resistance,independent_ownership_composite,independent_ownership_refined,detail_action_prediction_accuracy,detail_action_self_attribution,detail_action_external_attribution,detail_body_own_fit,detail_body_fake_fit,detail_forced_choice_accuracy,detail_illusion_external_rejection
thalamus,W-A-,20260521,False,0.0,0.0,0.6853062474450027,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,,,,0.01809345138835392,0.008308542275799436,,
thalamus,W-A-,20260522,False,0.0,0.0,0.6119312916028299,0.0,0.31666666666666665,0.0,0.0,0.10555555555555556,0.0,,,,0.0328243639948747,0.020816239669903813,,
thalamus,W-A-,20260523,False,0.0,0.0,0.6152662211361021,0.0,0.24166666666666667,0.0,0.0,0.08055555555555556,0.0,,,,0.009840759641495004,0.006153551744651975,,
thalamus,W-A-,20260524,False,0.0,0.0,0.667789895454268,0.0,0.2916666666666667,0.0,0.0,0.09722222222222222,0.0,,,,0.013738745797708016,0.006834709601122566,,
thalamus,W-A-,20260525,False,0.0,0.0,0.7439232412591641,0.0,0.30833333333333335,0.0,0.0,0.10277777777777779,0.0,,,,0.01799305330311946,0.006193653148934902,,
thalamus,W-A-,20260526,False,0.0,0.0,0.7522304665096796,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,,,,0.042449338079363186,0.013981954878094399,,
thalamus,W-A-,20260527,False,0.0,0.0,0.7538352404742681,0.0,0.39166666666666666,0.0,0.0,0.13055555555555556,0.0,,,,0.03268478303775338,0.010673209569961312,,
thalamus,W-A-,20260528,False,0.0,0.0,0.6090428263711192,0.0,0.475,0.0,0.0,0.15833333333333333,0.0,,,,0.02476655084371948,0.01589816050711285,,
thalamus,W+A-,20261521,False,0.0,0.0,0.8325811539187886,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,,,0.34498302101565903,0.06937060572608693,,
thalamus,W+A-,20261522,False,0.0,0.0,0.836113909574181,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,,,0.41129121291079224,0.08061689657651687,,
thalamus,W+A-,20261523,False,0.0,0.0,0.7881691037685972,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,,,0.3157883147713885,0.08487229596974676,,
thalamus,W+A-,20261524,False,0.0,0.0,0.7929364456426371,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,,,0.4611434527297482,0.1204207507709208,,
thalamus,W+A-,20261525,False,0.0,0.0,0.796414142108004,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,,,0.33011505718475304,0.08438669439711562,,
thalamus,W+A-,20261526,False,0.0,0.0,0.8084971210623134,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,,,0.3913464455960703,0.09269540822447149,,
thalamus,W+A-,20261527,False,0.0,0.0,0.7491023498532354,0.0,0.9916666666666667,0.0,0.0,0.33055555555555555,0.0,,,,0.32974022982032597,0.11044024703417392,,
thalamus,W+A-,20261528,False,0.0,0.0,0.809159811217332,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,,,0.4123614335272309,0.09725536590043497,,
thalamus,W-A+,20262521,True,0.7533315214823164,0.9686199539642603,0.740179800230123,0.9686199539642603,0.6833333333333333,0.9982023157705894,0.958107357057522,0.879881002053815,0.9781548364140558,0.9252856046768104,1.0,1.0,0.055994866557184615,0.019655490693304977,1.0,1.0
thalamus,W-A+,20262522,True,0.7474637758583369,0.9682960969974123,0.7161630320080832,0.9682960969974123,0.7416666666666667,0.9981001552025198,0.9580808096488403,0.8992825438393423,0.9780904824256801,0.9245145166605057,1.0,1.0,0.042313004551706994,0.016769917135692227,1.0,1.0
thalamus,W-A+,20262523,True,0.7654541423211341,0.967426608491856,0.6508836146019388,0.967426608491856,0.775,0.9979970422528186,0.9580540971696923,0.9103503798075036,0.9780255697112554,0.9224443059329904,1.0,1.0,0.017041091788915885,0.009140380990137094,1.0,1.0
thalamus,W-A+,20262524,True,0.7523253718062415,0.9672130463399936,0.7417595910517417,0.9672130463399936,0.75,0.9981623026905178,0.9581017533225179,0.9020880186710118,0.9781320280065178,0.9219358246190325,1.0,1.0,0.0381544146627262,0.01328329491493821,1.0,1.0
thalamus,W-A+,20262525,True,0.7537199815311623,0.9676229115827745,0.7211278196814073,0.9676229115827745,0.7916666666666666,0.9981419473615236,0.9580301827489239,0.9159462655923715,0.9780860650552238,0.9229116942447012,1.0,1.0,0.05100693651318237,0.01972523453880853,1.0,1.0
thalamus,W-A+,20262526,True,0.772364181727373,0.9688188434791435,0.6744161810142622,0.9688188434791435,0.75,0.998130979879509,0.9581022664001235,0.9020777487598775,0.9781166231398163,0.925759151140818,1.0,1.0,0.014903965429982777,0.007195096951872228,1.0,1.0
thalamus,W-A+,20262527,True,0.7584315881996133,0.9671553083681547,0.6461710121181172,0.9671553083681547,0.7083333333333334,0.9980463937387619,0.9580935734243403,0.8881577668321453,0.9780699835815512,0.921798353257511,1.0,1.0,0.013885110487154287,0.007603179888900433,1.0,1.0
thalamus,W-A+,20262528,True,0.7637593452643268,0.9686594316702132,0.6896392575534419,0.9686594316702132,0.7,0.9981442419985468,0.9580499912513414,0.8853980777499627,0.9780971166249441,0.9253795992147934,1.0,1.0,0.015952065109742643,0.007178962808671963,1.0,1.0
thalamus,W+A+,20263521,True,0.766080198402027,0.9673825965507316,0.7506744755128616,0.9673825965507316,0.75,0.9981672460075073,0.9581669472761641,0.9021113977612237,0.9781670966418357,0.9223395155969801,1.0,1.0,0.2919944616494957,0.09698168037175832,1.0,1.0
thalamus,W+A+,20263522,True,0.7586437060367208,0.9674079459245598,0.7786016154062989,0.9674079459245598,0.8333333333333334,0.9980885044009545,0.9580333684842559,0.9298184020728479,0.9780609364426052,0.922399871248952,1.0,1.0,0.28366255943573343,0.08066054694403912,1.0,1.0
thalamus,W+A+,20263523,True,0.7575072335003661,0.9682071061039702,0.7984481118773672,0.9682071061039702,0.7333333333333333,0.9980643758094327,0.9580576066657044,0.8964851052694902,0.9780609912375686,0.9243026335808815,1.0,1.0,0.3820764585852059,0.0964473836071099,1.0,1.0
thalamus,W+A+,20263524,True,0.754039707501329,0.9683716224710487,0.7892162267257311,0.9683716224710487,0.7833333333333333,0.9981572769652883,0.9580939798413298,0.9131948633799838,0.9781256284033091,0.9246943392167827,1.0,1.0,0.3347547886636056,0.08940626763297706,1.0,1.0
thalamus,W+A+,20263525,True,0.7630680356767506,0.9676068608913398,0.8106460614479218,0.9676068608913398,0.7333333333333333,0.9980873618143816,0.9580599956542991,0.8964935636006713,0.9780736787343404,0.922873478312714,1.0,1.0,0.3464088228515621,0.080915553365333,1.0,1.0
thalamus,W+A+,20263526,True,0.7529654158817207,0.9687131042486649,0.793409622143985,0.9687131042486649,0.7666666666666667,0.9980580296461635,0.9581512504874742,0.9076253156001015,0.9781046400668189,0.9255073910682495,1.0,1.0,0.3440802191878112,0.08959263943547273,1.0,1.0
thalamus,W+A+,20263527,True,0.7491225086492505,0.9687199303894122,0.8046972539813266,0.9687199303894122,0.7083333333333334,0.9981178402873034,0.9580808954296013,0.8881773563500794,0.9780993678584524,0.925523643784315,1.0,1.0,0.4380879265042969,0.10632542153698481,1.0,1.0
thalamus,W+A+,20263528,True,0.758709533601658,0.9685289242140528,0.7423904372505079,0.9685289242140528,0.775,0.9980820912513273,0.9581344062501431,0.9104054991671569,0.9781082487507352,0.9250688671763161,1.0,1.0,0.13456921947490316,0.04669553351800813,1.0,1.0
distributed,feedback_off,20264521,False,0.0,0.0,0.571874499038151,0.0,0.5166666666666667,0.0,0.0,0.17222222222222225,0.0,,,,1.0,0.7486354114583685,,
distributed,feedback_off,20264522,False,0.0,0.0,0.5796979262416416,0.0,0.375,0.0,0.0,0.125,0.0,,,,1.0,0.7250363588560802,,
distributed,feedback_off,20264523,False,0.0,0.0,0.572967652814333,0.0,0.38333333333333336,0.0,0.0,0.1277777777777778,0.0,,,,1.0,0.7452992241624447,,
distributed,feedback_off,20264524,False,0.0,0.0,0.5752714282287962,0.0,0.4083333333333333,0.0,0.0,0.1361111111111111,0.0,,,,1.0,0.7383098670546347,,
distributed,feedback_off,20264525,False,0.0,0.0,0.5654134334023734,0.0,0.36666666666666664,0.0,0.0,0.12222222222222222,0.0,,,,1.0,0.7686173353135421,,
distributed,feedback_off,20264526,False,0.0,0.0,0.5687621420033724,0.0,0.44166666666666665,0.0,0.0,0.14722222222222223,0.0,,,,1.0,0.7582042229619925,,
distributed,feedback_off,20264527,False,0.0,0.0,0.5619096857190929,0.0,0.4583333333333333,0.0,0.0,0.15277777777777776,0.0,,,,1.0,0.7796454223036925,,
distributed,feedback_off,20264528,False,0.0,0.0,0.5717928798286009,0.0,0.35,0.0,0.0,0.11666666666666665,0.0,,,,1.0,0.7488850162456805,,
distributed,feedback_on,20265521,True,0.14640299479166669,0.8375000000623115,0.5630051461583624,0.8375000000623115,0.475,0.9984083410185742,0.9584615900334773,0.8106233103506839,0.9784349655260258,0.833333333481694,0.8333333333333334,0.8125,1.0,0.7761826987913789,1.0,1.0
distributed,feedback_on,20265522,True,0.15171305338541666,0.8968750000224059,0.5660393615419114,0.8968750000224059,0.39166666666666666,0.9985017442176364,0.9584325184282858,0.7828669764375297,0.9784671313229611,0.9375000000533471,0.9375,0.71875,1.0,0.7666615925965378,1.0,1.0
distributed,feedback_on,20265523,True,0.18251546223958331,0.8473958333763327,0.559060220331049,0.8473958333763327,0.30833333333333335,0.998672048045117,0.9586474359993827,0.7552176057926111,0.9786597420222498,0.8854166667690461,0.8854166666666666,0.6666666666666666,1.0,0.7887160695296602,1.0,1.0
distributed,feedback_on,20265524,True,0.17156982421875,0.8244791667194776,0.5578595492531642,0.8244791667194776,0.4166666666666667,0.9983807042250207,0.9583570380656595,0.7911348029857823,0.9783688711453401,0.8437500001257403,0.84375,0.7083333333333334,1.0,0.7925658909682426,1.0,1.0
distributed,feedback_on,20265525,True,0.20253499348958331,0.8140625000553737,0.5651577374407303,0.8140625000553737,0.31666666666666665,0.998541298062518,0.958583601169529,0.7579305219662379,0.9785624496160235,0.8437500001318422,0.84375,0.65625,1.0,0.7694175160075822,1.0,1.0
distributed,feedback_on,20265526,True,0.18406168619791669,0.8302083333856136,0.5706986692953616,0.8302083333856136,0.5583333333333333,0.9984379361080887,0.9583460333708823,0.838372434270768,0.9783919847394855,0.8541666667911433,0.8541666666666666,0.6979166666666666,1.0,0.7522381840560373,1.0,1.0
distributed,feedback_on,20265527,True,0.18206787109375,0.8666666666978224,0.5757003172644132,0.8666666666978224,0.44166666666666665,0.9984284418177021,0.9584671089416326,0.7995207391420004,0.9784477753796673,0.9166666667408471,0.9166666666666666,0.6458333333333334,1.0,0.737014849455103,1.0,1.0
distributed,feedback_on,20265528,True,0.1929931640625,0.8458333333781449,0.5587195615611367,0.8458333333781449,0.36666666666666664,0.9985969297990405,0.9585975707872475,0.7746203890843182,0.9785972502931439,0.8750000001066942,0.875,0.6979166666666666,1.0,0.7898066735790451,1.0,1.0
