architecture,condition,seed,proxy_temporal_existing,proxy_trajectory_consistency,proxy_identity_marker_persistence,proxy_temporal_candidate,test_computational_mirror,test_transformed_mirror,test_temporal_binding,test_delayed_identity_recognition,independent_temporal_composite,independent_temporal_refined,detail_trajectory_behavior_consistency,detail_trajectory_action_consistency,detail_marker_architecture,detail_marker_vector_trace,detail_marker_source_trace,detail_marker_position_persistence,detail_marker_memory_persistence,detail_transformed_accuracy,detail_binding_ordering_accuracy,detail_binding_local_edge_rate,detail_delayed_identity_discrimination,detail_delayed_identity_own_memory
thalamus,W-A-,20260521,0.24900228367561222,0.9490275902023448,2.6249999257599297e-10,0.47451379523242243,0.958041958041958,0.9457796515047182,0.6479298245614035,0.17500000323815035,0.6816878593365575,0.4114649138997769,0.9539883153845959,0.9398148148638786,thalamus,9.999999717180685e-10,0.0,,,0.975,0.6140350877192982,0.6947368421052632,0.5000000092518582,
thalamus,W-A-,20260522,0.24885920190335759,0.9010828652455296,0.008821428870086051,0.45495214705780784,0.9300699300699301,0.9220398372342663,0.694548245614035,0.20875714163595271,0.6888537886385461,0.4516526936249939,0.9340539609387863,0.8398508303866244,thalamus,0.03360544331461353,0.0,,,0.95,0.6791666666666667,0.7157894736842105,0.5964489761027221,
thalamus,W-A-,20260523,0.2502548644421488,0.9441527713944571,2.6249999257599297e-10,0.47207638582847855,0.965034965034965,0.9543653343970091,0.782578947368421,0.17499999568246602,0.7192448106207152,0.47878947152544354,0.953967226616751,0.9259259259816255,thalamus,9.999999717180685e-10,0.0,,,0.9833333333333333,0.7394736842105263,0.8421052631578947,0.4999999876641887,
thalamus,W-A-,20260524,0.2483723309401676,0.9434778711420206,2.6249999257599297e-10,0.47173893570226033,0.958041958041958,0.9616243019207324,0.7752631578947369,0.17500000350799624,0.7174823553413558,0.4751315807013666,0.9304930211139867,0.9675925926226553,thalamus,9.999999717180685e-10,0.0,,,0.9916666666666667,0.7421052631578948,0.8210526315789474,0.5000000100228464,
thalamus,W-A-,20260525,0.24994654677975253,0.9339948443587813,2.6249999257599297e-10,0.4669974223106407,0.965034965034965,0.9617361387007111,0.7394122807017544,0.17499999622215776,0.7102958451648971,0.45720613846195607,0.945818279031879,0.9120370371087428,thalamus,9.999999717180685e-10,0.0,,,0.9916666666666667,0.7793859649122807,0.6842105263157895,0.49999998920616506,
thalamus,W-A-,20260526,0.24857921996640933,0.9571586160944291,0.004814943806751206,0.48098677995059014,0.9440559440559441,0.938505685611561,0.6827807017543859,0.17500000431753385,0.6850855839348562,0.42889035303595985,0.9565260760269488,0.9583333333626065,thalamus,0.018342643073337928,0.0,,,0.9666666666666667,0.6741228070175438,0.6947368421052632,0.500000012335811,
thalamus,W-A-,20260527,0.2500621958164864,0.9560400130175153,2.6249999257599297e-10,0.47802000664000766,0.9440559440559441,0.9692505025437858,0.7269824561403508,0.17499999703169536,0.7038222249429441,0.4509912265860231,0.9498193932323531,0.9675925926185309,thalamus,9.999999717180685e-10,0.0,,,1.0,0.7350877192982457,0.7157894736842105,0.49999999151912966,
thalamus,W-A-,20260528,0.25083732231222944,0.9588269717744479,0.01557349052023061,0.48720023114733924,0.9090909090909091,0.9380841544016019,0.7541447368421051,0.17500000350799624,0.6940799509606531,0.4645723701750507,0.9790357969847134,0.9212962963839546,thalamus,0.059327582934211844,0.0,,,0.9666666666666667,0.7361842105263157,0.7789473684210526,0.5000000100228464,
thalamus,W+A-,20261521,0.8123518405510523,0.9434883346252071,0.257341968947857,0.600415151786532,1.0,0.9821583678439092,0.6645877192982457,0.6110483568640961,0.8144486110015627,0.6378180380811709,0.9575319227279664,0.9174073852915114,thalamus,0.3431226252638093,0.0,,,1.0,0.6732456140350878,0.6526315789473685,0.6110483568640961,
thalamus,W+A-,20261522,0.6997513298266179,0.8803541444118266,0.30008197389781666,0.5902180591548216,1.0,0.9828436380105638,0.7337061403508771,0.6044771589696912,0.830256734332783,0.6690916496602841,0.9011962872237197,0.8416473077611678,thalamus,0.4001092985304222,0.0,,,1.0,0.6475877192982455,0.8526315789473684,0.6044771589696912,
thalamus,W+A-,20261523,0.8218021496165893,0.8012545566535682,0.25576534044348187,0.528509948548525,1.0,0.9825067968460819,0.8196228070175438,0.5985998982043405,0.8501823755169915,0.709111352610942,0.8612506067749078,0.6898333207139374,thalamus,0.3410204539246425,0.0,,,1.0,0.8109649122807018,0.8315789473684211,0.5985998982043405,
thalamus,W+A-,20261524,0.7062926320850851,0.763202852498103,0.23796143580605272,0.5005821441520779,1.0,0.9818013259608078,0.7753684210526315,0.5667705376406433,0.8309850711635207,0.6710694793466374,0.8419827615990826,0.6168973070248552,thalamus,0.3172819144080703,0.0,,,1.0,0.6736842105263157,0.9157894736842105,0.5667705376406433,
thalamus,W+A-,20261525,0.6926203343646874,0.7965210870218836,0.23380726110657757,0.5151641740642305,1.0,0.9823964938376036,0.726842105263158,0.5230710354096311,0.8080774086275982,0.6249565703363945,0.901922686374301,0.6007752596531087,thalamus,0.3117430148087701,0.0,,,1.0,0.605263157894737,0.8947368421052632,0.5230710354096311,
thalamus,W+A-,20261526,0.7881655719608744,0.883240342202964,7.500000620552782e-10,0.441620171476482,1.0,0.9820766856286065,0.8107894736842105,0.5353760793923631,0.8320605596762951,0.6730827765382867,0.9360074285826755,0.7852443246406428,thalamus,1.000000082740371e-09,0.0,,,1.0,0.75,0.8947368421052632,0.5353760793923631,
thalamus,W+A-,20261527,0.625582374098246,0.8542234715585681,0.3441480344464255,0.5991857530024969,0.986013986013986,0.9819096263195728,0.7348640350877194,0.5975982438643921,0.8250964728214176,0.6662311394760557,0.9026793589424983,0.7642339664169834,thalamus,0.45886404592856733,0.0,,,1.0,0.5581140350877194,0.9789473684210527,0.5975982438643921,
thalamus,W+A-,20261528,0.7225309275926799,0.8783887105789693,0.33364799207379536,0.6060183513263824,1.0,0.9819158774023286,0.731548245614035,0.5993888837386809,0.828213251688761,0.665468564676358,0.9330502538128727,0.7768744160017201,thalamus,0.44486398943172717,0.0,,,1.0,0.6133771929824561,0.8947368421052632,0.5993888837386809,
thalamus,W-A+,20262521,0.24780801775983283,0.9504778286509467,0.008761088435238616,0.4796194585430926,1.0,0.9608573487226898,0.6441842105263158,0.1750000037778421,0.6950103907567119,0.40959210715207894,0.9239893883098679,0.9996706464272358,thalamus,0.03337557499138521,0.0,,,1.0,0.5618421052631579,0.7578947368421053,0.5000000107938346,
thalamus,W-A+,20262522,0.24843839258403183,0.9760361134857567,2.6249999257599297e-10,0.48801805687412836,1.0,0.9603027194451416,0.6247894736842106,0.17499999595231192,0.690023047270416,0.3998947348182612,0.9635764044909981,0.9991755730474511,thalamus,9.999999717180685e-10,0.0,,,1.0,0.5131578947368423,0.7789473684210526,0.4999999884351769,
thalamus,W-A+,20262523,0.25135226349644235,0.9384331624471495,0.0030582178532484643,0.47074569015019896,1.0,0.9608921858939918,0.7351973684210527,0.1749999967618495,0.7177723877692235,0.4550986825914511,0.9679431508556413,0.8836288982599504,thalamus,0.011650353726660817,0.0,,,1.0,0.6730263157894737,0.8210526315789474,0.49999999074814144,
thalamus,W-A+,20262524,0.24991512591701773,0.9350316243730108,2.625000217193474e-10,0.4675158123177554,1.0,0.9606302375525148,0.8260043859649122,0.17499999541262015,0.7404086547325117,0.5005021906887662,0.9646722623678688,0.8799847252397032,thalamus,1.000000082740371e-09,0.0,,,1.0,0.8905701754385965,0.7368421052631579,0.49999998689320047,
thalamus,W-A+,20262525,0.24971226478597092,0.9558267071238477,0.014002416066213713,0.48491456159503066,1.0,0.9603809095503095,0.7075526315789473,0.17500000431753385,0.7107333863616976,0.44127631794824057,0.932653627127444,0.9988624271171687,thalamus,0.053342537395099865,0.0,,,1.0,0.7092105263157895,0.7052631578947368,0.500000012335811,
thalamus,W-A+,20262526,0.2513187202290733,0.9708757476876875,0.0040932549781225805,0.48748450133290505,1.0,0.9605822105045387,0.6369956140350876,0.17499999568246602,0.693144455055523,0.40599780485877685,0.9557803445540921,0.9989100677929358,thalamus,0.01559335229760983,0.0,,,1.0,0.5646929824561404,0.7368421052631579,0.4999999876641887,
thalamus,W-A+,20262527,0.24913781961219295,0.9136922040877564,0.004429387608107208,0.4590607958479318,1.0,0.9609151414559114,0.7406008771929824,0.17499999730154125,0.7191290039876088,0.4578004372472618,0.93112802231495,0.8813113988086826,thalamus,0.016873857554694126,0.0,,,1.0,0.6975877192982456,0.8,0.4999999922901179,
thalamus,W-A+,20262528,0.2499321484256225,0.9606448528584552,0.004717247723720925,0.4826810502910881,1.0,0.9603337400824843,0.748390350877193,0.2140104334419456,0.7306836311004057,0.4812003921595693,0.9397422067321868,0.9994640528072396,thalamus,0.01797046751893686,0.0,,,1.0,0.718640350877193,0.7894736842105263,0.6114583812627017,
thalamus,W+A+,20263521,0.7798616081208697,0.8359510350470911,0.2366640940646838,0.5363075645558875,1.0,0.9600635097692283,0.8445570175438596,0.5419632034562991,0.8366459326923468,0.6932601105000793,0.9375551620923473,0.6472576562487579,thalamus,0.3155521254195784,0.0,,,1.0,0.8234649122807017,0.8736842105263158,0.5419632034562991,
thalamus,W+A+,20263522,0.7042323045912517,0.6886322251170202,0.24965498617144788,0.469143605644234,1.0,0.9604153163334972,0.6185263157894736,0.591670136046087,0.7926529420422644,0.6050982259177803,0.7738094887389021,0.5304458783906679,thalamus,0.33287331489526384,0.0,,,1.0,0.49473684210526314,0.7894736842105263,0.591670136046087,
thalamus,W+A+,20263523,0.7356793435255828,0.9093432048104262,0.25178677489978735,0.5805649898551067,1.0,0.9598871379312017,0.7475570175438596,0.6134296503906127,0.8302184514664186,0.6804933339672361,0.9252578191517412,0.8797874924622695,thalamus,0.3357156998663831,0.0,,,1.0,0.7629385964912281,0.7263157894736842,0.6134296503906127,
thalamus,W+A+,20263524,0.6750910434199915,0.8724361979690878,0.30574091115965973,0.5890885545643738,1.0,0.960298410136237,0.6564210526315788,0.637446808336199,0.8135415677760037,0.6469339304838889,0.9328681488872226,0.7602054319782661,thalamus,0.40765454821287966,0.0,,,1.0,0.6210526315789473,0.7052631578947368,0.637446808336199,
thalamus,W+A+,20263525,0.6592527445106768,0.6797785208866022,0.3389571633614039,0.5093678421240031,1.0,0.9609640562455113,0.6715701754385963,0.5926109287227297,0.8062862901017094,0.632090552080663,0.8899504983893541,0.2894591340957771,thalamus,0.45194288448187186,0.0,,,1.0,0.5557017543859648,0.8315789473684211,0.5926109287227297,
thalamus,W+A+,20263526,0.7003484855109238,0.7636110887772558,0.30144986020292985,0.5325304744900928,1.0,0.9608793117920098,0.6725263157894736,0.5959939067007929,0.807349883570569,0.6342601112451333,0.9511276133709982,0.4153661145317342,thalamus,0.4019331469372398,0.0,,,1.0,0.5421052631578946,0.8526315789473684,0.5959939067007929,
thalamus,W+A+,20263527,0.7955277572001237,0.6941366981400904,0.27812190876989185,0.4861293034549911,1.0,0.9602574654394094,0.716421052631579,0.5672992849846583,0.8109944507639116,0.6418601688081187,0.8482592325471696,0.40790913424122893,thalamus,0.3708292116931891,0.0,,,1.0,0.5263157894736843,0.9789473684210527,0.5672992849846583,
thalamus,W+A+,20263528,0.6699832301411455,0.8263161227195328,0.19991535123425513,0.5131157369768939,1.0,0.9607670492293102,0.875219298245614,0.49999998920616506,0.8339965841702723,0.6876096437258895,0.8626509324286334,0.7588371904026315,thalamus,0.2665538016456735,0.0,,,1.0,0.8153508771929824,0.9578947368421052,0.49999998920616506,
distributed,feedback_off,20264521,0.991701429627764,0.8414809987112484,1.0,0.9207404993556242,1.0,0.9752823351675477,0.6226315789473684,0.85,0.8619784785287291,0.7363157894736843,0.9661153446116456,0.6100172134676537,distributed,,,1.0,1.0,1.0,0.7,0.5157894736842106,,1.0
distributed,feedback_off,20264522,0.9912002331980321,0.8457939397375919,0.9804185814440649,0.9131062605908284,1.0,0.9720192271593571,0.5248114035087719,0.85,0.8367076576670323,0.687405701754386,0.9348583651167205,0.6803885783192101,distributed,,,0.9456071706779579,1.0,1.0,0.5923245614035086,0.43157894736842106,,1.0
distributed,feedback_off,20264523,0.9894869799576536,0.8208719918145423,0.9363603896932107,0.8786161907538765,1.0,0.9756433587770257,0.6033991228070175,0.85,0.8572606203960108,0.7266995614035088,0.9613980276740443,0.5598950680754672,distributed,,,0.8232233047033631,1.0,1.0,0.8497807017543859,0.2631578947368421,,1.0
distributed,feedback_off,20264524,0.9871689852688883,0.7783948639037676,0.9773390784930942,0.8778669711984308,1.0,0.9703383169531927,0.558548245614035,0.85,0.844721640641807,0.7042741228070175,0.9419135435171127,0.4747173160504123,distributed,,,0.9370529958141505,1.0,1.0,0.6581140350877193,0.42105263157894735,,1.0
distributed,feedback_off,20264525,0.9959953784672249,0.7559198837423304,0.9781073085065266,0.8670135961244285,1.0,0.9711443740542578,0.5042719298245615,0.85,0.8313540759697048,0.6771359649122808,0.9413609385195408,0.411529353441797,distributed,,,0.939186968073685,1.0,1.0,0.5416666666666667,0.45263157894736844,,1.0
distributed,feedback_off,20264526,0.9955226706082785,0.8163244996053953,0.9974038461538461,0.9068641728796207,1.0,0.9746524856700325,0.6379254385964912,0.85,0.8656444810666309,0.7439627192982456,0.9811306745244842,0.5102558890413729,distributed,,,0.9927884615384616,1.0,1.0,0.7339912280701755,0.5052631578947369,,1.0
distributed,feedback_off,20264527,0.9914353031929235,0.7891675475142429,0.9930769230769232,0.891122235295583,1.0,0.9741346920113492,0.5738771929824561,0.85,0.8495029712484513,0.711938596491228,0.9668266888599953,0.45922914215784566,distributed,,,0.9807692307692307,1.0,1.0,0.6692982456140351,0.4421052631578947,,1.0
distributed,feedback_off,20264528,0.9958237047071488,0.8087579797317759,1.0,0.9043789898658879,1.0,0.9730207742892212,0.5734473684210526,0.85,0.8491170356775685,0.7117236842105263,0.9679866150414905,0.5130476570137343,distributed,,,1.0,1.0,1.0,0.5618421052631579,0.5894736842105263,,1.0
distributed,feedback_on,20265521,0.9947600581600238,0.8386069988702572,0.6250624627706001,0.7318347308204287,1.0,0.9763780248541536,0.5987675438596491,0.5,0.7687863921784507,0.5493837719298246,0.9490205839970814,0.6335531979204407,distributed,,,0.8473957299183337,0.0,1.0,0.5445175438596492,0.6736842105263158,,0.0
distributed,feedback_on,20265522,0.993572678870865,0.8118900454624014,0.6799999999999999,0.7459450227312007,1.0,0.9726459916802822,0.4774210526315789,0.5,0.7375167610779653,0.4887105263157895,0.9630027478179431,0.5312521696592524,distributed,,,1.0,0.0,1.0,0.5868421052631578,0.3263157894736842,,0.0
distributed,feedback_on,20265523,0.9963019201186825,0.800742306247561,0.6527990733086229,0.7267706897780919,1.0,0.9746108693663813,0.5510263157894736,0.5,0.7564092962889637,0.5255131578947367,0.9457457585529623,0.5314501805375299,distributed,,,0.9244418703017301,0.0,1.0,0.5460526315789473,0.5578947368421052,,0.0
distributed,feedback_on,20265524,0.9975018188508904,0.8401117879527502,0.6286054684909324,0.7343586282218413,1.0,0.9765943174499235,0.5732456140350877,0.5,0.7624599828712528,0.5366228070175438,0.9506311123776356,0.6348616140208203,distributed,,,0.8572374124748119,0.0,1.0,0.6377192982456139,0.4842105263157895,,0.0
distributed,feedback_on,20265525,0.9947580686505033,0.8189635884607381,0.6751046453610162,0.7470341169108772,1.0,0.9752102153267413,0.5589166666666665,0.5,0.7585317204983519,0.5294583333333333,0.9549968894259298,0.566330315239668,distributed,,,0.9864017926694895,0.0,1.0,0.5291666666666666,0.6,,0.0
distributed,feedback_on,20265526,0.9918742247541854,0.8109293287013047,0.6730769230769231,0.742003125889114,1.0,0.9777205986180195,0.5721666666666667,0.5,0.7624718163211716,0.5360833333333334,0.954936878136353,0.5434867368933581,distributed,,,0.9807692307692307,0.0,1.0,0.6206140350877194,0.5052631578947369,,0.0
distributed,feedback_on,20265527,0.9910600631619066,0.7608927120418866,0.6765384615384615,0.718715586790174,1.0,0.9727852343261552,0.5792631578947368,0.5,0.763012098055223,0.5396315789473685,0.9327155404719485,0.44179317352891423,distributed,,,0.9903846153846154,0.0,1.0,0.5947368421052632,0.5578947368421052,,0.0
distributed,feedback_on,20265528,0.9894319129605136,0.8108600986839032,0.6161723845264339,0.7135162416051686,1.0,0.9757875916436431,0.6655350877192981,0.5,0.7853306698407353,0.5827675438596491,0.9572550984325678,0.5389836705792401,distributed,,,0.8227010681289829,0.0,1.0,0.7206140350877193,0.5894736842105263,,0.0
